127.0.0.1 - - [04/Dec/2019:22:58:32 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:37 +0530] "GET /BloodBank/Designs/index.jsp HTTP/1.1" 200 35111
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/css/swiper.min.css HTTP/1.1" 200 19439
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/style.css HTTP/1.1" 200 30055
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/custom.js HTTP/1.1" 200 5145
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/jquery.js HTTP/1.1" 200 97184
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/jquery.collapsible.min.js HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/swiper.min.js HTTP/1.1" 200 114406
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/jquery.countdown.min.js HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/circle-progress.min.js HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/jquery.countTo.min.js HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/js/jquery.barfiller.js HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/images/logo.png HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/images/cardiogram.png HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/images/stomach-2.png HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/images/blood-sample-2.png HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [04/Dec/2019:22:58:38 +0530] "GET /BloodBank/Designs/images/emergency-call.png HTTP/1.1" 200 1022
